Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,Skills,Performance_Score,Layoff_Risk,Skill_Count,Experience_Age_Ratio,Employee_Risk_Score,Employee_Risk_Level
Bachelors,2012,Bangalore,3,37,Male,No,4,0,"ci/cd,devops,linux",1,0,3,0.10810810810810811,0.07948162143584683,Low
Bachelors,2017,Bangalore,1,29,Male,No,3,0,"data engineering,spark",1,0,2,0.10344827586206896,0.1194947902055938,Low
Bachelors,2014,Bangalore,3,34,Female,No,2,0,"data analysis,python,sql",4,0,3,0.058823529411764705,0.16717746513609852,Low
Bachelors,2014,Pune,3,34,Male,No,4,0,"java,microservices,spring boot",3,0,3,0.11764705882352941,0.07081597028388757,Low
Bachelors,2015,Pune,2,30,Female,No,0,1,"javascript,react,ui/ux",5,1,3,0.0,0.9456630666184175,High
Bachelors,2016,New Delhi,2,22,Female,No,0,1,"aws,docker,kubernetes",1,1,3,0.0,0.7008899738504587,High
Bachelors,2012,Bangalore,3,37,Male,No,0,0,"cybersecurity,networking",5,0,2,0.0,0.09880808911169268,Low
Masters,2017,New Delhi,2,28,Male,No,4,0,"machine learning,python",4,0,2,0.14285714285714285,0.21929586187647895,Low
Bachelors,2017,New Delhi,2,36,Male,No,3,0,"ci/cd,devops,linux",5,0,3,0.08333333333333333,0.062118636702586404,Low
Bachelors,2015,Bangalore,3,27,Male,Yes,5,0,"data engineering,spark",5,0,2,0.18518518518518517,0.06545571600447606,Low
Bachelors,2017,Bangalore,3,29,Male,No,4,0,"data analysis,python,sql",4,0,3,0.13793103448275862,0.08388512182444119,Low
Bachelors,2013,Bangalore,3,22,Female,Yes,0,0,"java,microservices,spring boot",3,0,3,0.0,0.13883386495699365,Low
Bachelors,2016,Bangalore,3,37,Male,No,2,0,"javascript,react,ui/ux",2,0,3,0.05405405405405406,0.0717543226911373,Low
Bachelors,2015,Bangalore,3,23,Male,No,1,0,"aws,docker,kubernetes",4,0,3,0.043478260869565216,0.1624867374258993,Low
Bachelors,2013,Pune,2,31,Female,No,2,1,"cybersecurity,networking",4,1,2,0.06451612903225806,0.9431956259636944,High
Masters,2017,New Delhi,2,30,Female,No,2,0,"machine learning,python",2,0,2,0.06666666666666667,0.3222229511313803,Low
PHD,2013,New Delhi,3,25,Male,No,3,0,"ci/cd,devops,linux",5,0,3,0.12,0.1697860435790958,Low
Bachelors,2014,Bangalore,3,23,Male,No,1,0,"data engineering,spark",2,0,2,0.043478260869565216,0.1165359922897768,Low
Bachelors,2018,Bangalore,3,26,Male,No,4,1,"data analysis,python,sql",2,1,3,0.15384615384615385,0.9341143721009099,High
Bachelors,2016,Bangalore,3,40,Male,No,5,0,"java,microservices,spring boot",2,0,3,0.125,0.07260529955488101,Low
Bachelors,2017,Pune,2,37,Female,No,0,1,"javascript,react,ui/ux",3,1,3,0.0,0.9236790267372067,High
Bachelors,2014,Bangalore,1,30,Female,No,3,0,"aws,docker,kubernetes",2,0,3,0.1,0.2308599984903263,Low
Bachelors,2012,New Delhi,3,29,Male,No,3,0,"cybersecurity,networking",4,0,2,0.10344827586206896,0.06939079869192265,Low
Bachelors,2018,New Delhi,2,34,Female,No,0,1,"machine learning,python",2,1,2,0.0,0.8294363962218011,High
Bachelors,2017,Pune,2,29,Female,No,2,1,"ci/cd,devops,linux",1,1,3,0.06896551724137931,0.9360971188360825,High
Bachelors,2014,Pune,3,30,Male,Yes,4,0,"data engineering,spark",3,0,2,0.13333333333333333,0.07881129645662782,Low
Bachelors,2015,Bangalore,3,36,Male,No,1,0,"data analysis,python,sql",1,0,3,0.027777777777777776,0.06493860193510205,Low
Masters,2017,New Delhi,2,23,Male,No,1,0,"java,microservices,spring boot",1,0,3,0.043478260869565216,0.4341723610519555,Low
Bachelors,2013,Bangalore,3,30,Male,No,3,1,"javascript,react,ui/ux",3,1,3,0.1,0.5233765973853226,Low
Bachelors,2014,Bangalore,3,36,Male,No,0,0,"aws,docker,kubernetes",1,0,3,0.0,0.1086328881904696,Low
Bachelors,2015,Pune,3,39,Male,No,4,0,"cybersecurity,networking",2,0,2,0.10256410256410256,0.05587888978907359,Low
Bachelors,2014,Bangalore,3,23,Female,No,1,0,"machine learning,python",5,0,2,0.043478260869565216,0.1952418216905396,Low
PHD,2012,New Delhi,3,27,Male,No,5,0,"ci/cd,devops,linux",4,0,3,0.18518518518518517,0.08878787957601847,Low
Masters,2013,New Delhi,3,35,Male,No,2,0,"data engineering,spark",3,0,2,0.05714285714285714,0.11261206144184266,Low
Masters,2017,New Delhi,2,34,Male,No,0,0,"data analysis,python,sql",4,0,3,0.0,0.363835349545107,Low
Bachelors,2013,Bangalore,3,30,Female,No,1,0,"java,microservices,spring boot",3,0,3,0.03333333333333333,0.22754827594531638,Low
PHD,2017,New Delhi,3,34,Male,No,2,0,"javascript,react,ui/ux",3,0,3,0.058823529411764705,0.11777784357027869,Low
Bachelors,2015,Pune,2,26,Female,No,4,1,"aws,docker,kubernetes",2,1,3,0.15384615384615385,0.9460299354934858,High
Bachelors,2016,Bangalore,3,34,Female,No,0,0,"cybersecurity,networking",1,0,2,0.0,0.1721760458693383,Low
Bachelors,2014,Bangalore,3,31,Female,Yes,5,0,"machine learning,python",1,0,2,0.16129032258064516,0.22989765801117906,Low
Bachelors,2017,New Delhi,3,31,Female,Yes,5,0,"ci/cd,devops,linux",5,0,3,0.16129032258064516,0.0794588722293915,Low
PHD,2013,New Delhi,3,28,Male,No,2,0,"data engineering,spark",2,0,2,0.07142857142857142,0.10253475673595921,Low
Bachelors,2016,Bangalore,3,38,Male,No,2,0,"data analysis,python,sql",2,0,3,0.05263157894736842,0.08202816047352987,Low
Masters,2014,Pune,3,39,Female,No,2,0,"java,microservices,spring boot",4,0,3,0.05128205128205128,0.20354360529144572,Low
Bachelors,2013,Pune,3,32,Male,No,4,0,"javascript,react,ui/ux",4,0,3,0.125,0.05918441328787215,Low
Masters,2017,Pune,2,36,Male,No,2,1,"aws,docker,kubernetes",5,1,3,0.05555555555555555,0.47285397179245114,Low
Masters,2013,New Delhi,3,29,Male,No,3,0,"cybersecurity,networking",5,0,2,0.10344827586206896,0.22520882966203418,Low
Bachelors,2015,Bangalore,3,30,Male,No,5,0,"machine learning,python",2,0,2,0.16666666666666666,0.06501311545809205,Low
PHD,2013,Bangalore,2,25,Male,No,3,1,"ci/cd,devops,linux",4,1,3,0.12,0.7651978363587864,High
Bachelors,2014,Pune,1,22,Female,No,0,1,"data engineering,spark",1,1,2,0.0,0.9364202994487524,High
Bachelors,2016,Bangalore,3,34,Male,No,4,0,"data analysis,python,sql",1,0,3,0.11764705882352941,0.06617397265283001,Low
Bachelors,2018,Bangalore,3,40,Male,No,1,1,"java,microservices,spring boot",4,1,3,0.025,0.8912856697696651,High
PHD,2013,Bangalore,3,26,Male,No,4,0,"javascript,react,ui/ux",4,0,3,0.15384615384615385,0.18311127011779513,Low
Bachelors,2014,New Delhi,3,28,Male,No,0,0,"aws,docker,kubernetes",5,0,3,0.0,0.08246312319889473,Low
Bachelors,2015,Bangalore,3,24,Female,No,2,0,"cybersecurity,networking",1,0,2,0.08333333333333333,0.10622931073208335,Low
Masters,2017,Bangalore,3,40,Female,No,2,1,"machine learning,python",3,1,2,0.05,0.7298147626043576,High
Bachelors,2018,Bangalore,3,23,Female,No,1,1,"ci/cd,devops,linux",4,1,3,0.043478260869565216,0.9251760104489593,High
Masters,2017,Bangalore,3,31,Male,No,4,0,"data engineering,spark",5,0,2,0.12903225806451613,0.6954139917191091,High
Bachelors,2014,Pune,3,25,Female,No,3,0,"data analysis,python,sql",3,0,3,0.12,0.7106564699298861,High
Bachelors,2014,Bangalore,1,27,Male,No,5,0,"java,microservices,spring boot",1,0,3,0.18518518518518517,0.16085842395681932,Low
Masters,2017,New Delhi,2,25,Female,No,3,1,"javascript,react,ui/ux",2,1,3,0.12,0.823782377453019,High
Bachelors,2015,Bangalore,3,40,Male,No,0,1,"aws,docker,kubernetes",5,1,3,0.0,0.2729327055247644,Low
Bachelors,2014,Bangalore,1,23,Female,No,1,0,"cybersecurity,networking",4,0,2,0.043478260869565216,0.23839366690975053,Low
Bachelors,2017,Bangalore,3,23,Female,No,1,0,"machine learning,python",3,0,2,0.043478260869565216,0.12214858469278067,Low
Bachelors,2012,Bangalore,3,39,Male,No,1,0,"ci/cd,devops,linux",1,0,3,0.02564102564102564,0.1196613945541993,Low
PHD,2015,New Delhi,1,37,Male,No,1,0,"data engineering,spark",3,0,2,0.02702702702702703,0.10051998330988976,Low
Bachelors,2017,Pune,3,38,Male,No,2,0,"data analysis,python,sql",2,0,3,0.05263157894736842,0.05158370550414777,Low
Bachelors,2013,Bangalore,3,31,Female,No,0,1,"java,microservices,spring boot",5,1,3,0.0,0.42398689827743113,Low
Bachelors,2016,Bangalore,3,38,Male,No,5,0,"javascript,react,ui/ux",1,0,3,0.13157894736842105,0.06241663168482534,Low
Bachelors,2017,Bangalore,3,25,Female,No,3,0,"aws,docker,kubernetes",4,0,3,0.12,0.2313496946732731,Low
Bachelors,2015,Bangalore,3,27,Female,Yes,5,1,"cybersecurity,networking",2,1,2,0.18518518518518517,0.5194748387456225,Low
Bachelors,2016,Pune,2,36,Male,No,0,1,"machine learning,python",1,1,2,0.0,0.5337920777704697,Low
Bachelors,2017,Pune,2,27,Female,No,5,1,"ci/cd,devops,linux",4,1,3,0.18518518518518517,0.9343992400048637,High
Masters,2015,Pune,2,32,Female,No,4,0,"data engineering,spark",4,0,2,0.125,0.2598011690220985,Low
Bachelors,2014,Bangalore,3,28,Male,No,4,0,"data analysis,python,sql",3,0,3,0.14285714285714285,0.09637065665792059,Low
Masters,2012,New Delhi,3,32,Male,No,2,0,"java,microservices,spring boot",5,0,3,0.0625,0.13803752718604329,Low
Bachelors,2018,Bangalore,3,30,Male,No,0,1,"javascript,react,ui/ux",1,1,3,0.0,0.9266447459936549,High
Bachelors,2015,New Delhi,3,22,Male,No,0,0,"aws,docker,kubernetes",3,0,3,0.0,0.11484106475918857,Low
Bachelors,2017,New Delhi,2,34,Female,No,5,0,"cybersecurity,networking",5,0,2,0.14705882352941177,0.2059709714604327,Low
Masters,2013,New Delhi,3,36,Male,No,2,0,"machine learning,python",3,0,2,0.05555555555555555,0.1249611982723005,Low
Bachelors,2014,Bangalore,3,39,Male,No,3,1,"ci/cd,devops,linux",1,1,3,0.07692307692307693,0.33218611391481,Low
PHD,2018,Bangalore,3,26,Male,No,4,1,"data engineering,spark",5,1,2,0.15384615384615385,0.9212003849499641,High
Bachelors,2016,Bangalore,3,31,Female,No,0,0,"data analysis,python,sql",3,0,3,0.0,0.19391726224598393,Low
Bachelors,2014,Bangalore,3,27,Male,No,5,1,"java,microservices,spring boot",4,1,3,0.18518518518518517,0.24865614050232346,Low
Bachelors,2014,Bangalore,3,29,Female,No,0,0,"javascript,react,ui/ux",4,0,3,0.0,0.2653673071894435,Low
Bachelors,2015,Bangalore,3,24,Female,No,2,1,"aws,docker,kubernetes",3,1,3,0.08333333333333333,0.3769576162050212,Low
Masters,2012,Pune,3,25,Male,No,3,1,"cybersecurity,networking",2,1,2,0.12,0.7548814639553055,High
Bachelors,2013,Pune,3,25,Male,No,3,0,"machine learning,python",3,0,2,0.12,0.16902229369618288,Low
Masters,2017,New Delhi,3,26,Female,No,4,1,"ci/cd,devops,linux",3,1,3,0.15384615384615385,0.5745193205874488,Medium
Bachelors,2015,Pune,2,28,Female,Yes,1,1,"data engineering,spark",5,1,2,0.03571428571428571,0.944886906115044,High
Bachelors,2017,New Delhi,3,28,Male,No,2,0,"data analysis,python,sql",4,0,3,0.07142857142857142,0.05821689888136043,Low
Masters,2015,Pune,1,28,Female,No,3,1,"java,microservices,spring boot",2,1,3,0.10714285714285714,0.44481717820680267,Low
Masters,2015,New Delhi,3,25,Male,No,3,0,"javascript,react,ui/ux",3,0,3,0.12,0.5284136401450593,Low
Bachelors,2017,Bangalore,3,28,Male,No,1,0,"aws,docker,kubernetes",4,0,3,0.03571428571428571,0.22436781359919963,Low
Masters,2013,Pune,3,25,Male,No,3,0,"cybersecurity,networking",5,0,2,0.12,0.5876992134566599,Medium
Bachelors,2015,Bangalore,2,25,Female,No,3,1,"machine learning,python",2,1,2,0.12,0.853350988115908,High
Bachelors,2015,Bangalore,3,27,Female,No,5,0,"ci/cd,devops,linux",5,0,3,0.18518518518518517,0.08594998609548501,Low
Bachelors,2017,Pune,2,27,Female,No,5,1,"data engineering,spark",5,1,2,0.18518518518518517,0.9226084471836391,High
Bachelors,2013,Bangalore,3,27,Male,No,5,1,"data analysis,python,sql",2,1,3,0.18518518518518517,0.24968551735081132,Low
Bachelors,2012,Bangalore,3,25,Male,No,3,0,"java,microservices,spring boot",4,0,3,0.12,0.2547381826175456,Low
Masters,2017,New Delhi,2,28,Male,No,2,0,"javascript,react,ui/ux",2,0,3,0.07142857142857142,0.1743375197978865,Low
Bachelors,2014,Pune,1,26,Female,No,4,1,"aws,docker,kubernetes",1,1,3,0.15384615384615385,0.9417556925754665,High
Bachelors,2015,Bangalore,3,28,Male,No,2,0,"cybersecurity,networking",1,0,2,0.07142857142857142,0.23538654622137561,Low
Masters,2013,New Delhi,3,26,Male,No,4,0,"machine learning,python",1,0,2,0.15384615384615385,0.4698832721342936,Low
Bachelors,2017,Bangalore,3,26,Female,No,4,0,"ci/cd,devops,linux",4,0,3,0.15384615384615385,0.12370797188500289,Low
Bachelors,2017,New Delhi,2,25,Male,No,3,0,"data engineering,spark",5,0,2,0.12,0.07484263837629988,Low
Bachelors,2012,Bangalore,1,28,Female,No,3,0,"data analysis,python,sql",1,0,3,0.10714285714285714,0.24591680762969506,Low
PHD,2015,New Delhi,3,26,Male,No,4,0,"java,microservices,spring boot",5,0,3,0.15384615384615385,0.07333661024260539,Low
Bachelors,2015,New Delhi,3,25,Female,No,3,0,"javascript,react,ui/ux",5,0,3,0.12,0.07811164051550173,Low
Bachelors,2012,Bangalore,3,26,Male,No,4,1,"aws,docker,kubernetes",1,1,3,0.15384615384615385,0.066116865637576,Low
Bachelors,2014,Bangalore,3,28,Female,No,3,0,"cybersecurity,networking",2,0,2,0.10714285714285714,0.05819931952063715,Low
Masters,2014,Pune,3,24,Male,No,2,0,"machine learning,python",4,0,2,0.08333333333333333,0.21283960027096366,Low
Bachelors,2013,Bangalore,3,28,Male,No,1,0,"ci/cd,devops,linux",1,0,3,0.03571428571428571,0.11997210174964275,Low
Bachelors,2015,Pune,3,27,Male,No,5,0,"data engineering,spark",1,0,2,0.18518518518518517,0.10055240640022564,Low
Bachelors,2018,Bangalore,3,25,Male,No,3,1,"data analysis,python,sql",2,1,3,0.12,0.9308649253711382,High
Masters,2013,Pune,1,24,Male,No,2,1,"java,microservices,spring boot",1,1,3,0.08333333333333333,0.6865887522037718,High
Bachelors,2017,Bangalore,3,26,Female,No,4,0,"javascript,react,ui/ux",4,0,3,0.15384615384615385,0.09650904360568813,Low
Bachelors,2013,Bangalore,3,28,Male,No,1,1,"aws,docker,kubernetes",1,1,3,0.03571428571428571,0.3711766699362177,Low
Masters,2016,New Delhi,3,27,Male,No,5,0,"cybersecurity,networking",2,0,2,0.18518518518518517,0.7198215055448658,High
Masters,2017,Bangalore,3,26,Male,No,4,0,"machine learning,python",1,0,2,0.15384615384615385,0.8045306992060413,High
Masters,2017,New Delhi,2,24,Male,No,2,0,"ci/cd,devops,linux",1,0,3,0.08333333333333333,0.6701839952268152,High
Masters,2018,New Delhi,3,26,Male,No,4,1,"data engineering,spark",3,1,2,0.15384615384615385,0.9398854100597942,High
Masters,2017,New Delhi,1,25,Female,No,3,1,"data analysis,python,sql",4,1,3,0.12,0.628945086376018,High
Bachelors,2012,Pune,3,28,Male,No,2,0,"java,microservices,spring boot",1,0,3,0.07142857142857142,0.0555688521412252,Low
Bachelors,2017,New Delhi,3,28,Male,No,2,0,"javascript,react,ui/ux",5,0,3,0.07142857142857142,0.06254635311764475,Low
Bachelors,2013,Bangalore,3,26,Male,No,4,0,"aws,docker,kubernetes",4,0,3,0.15384615384615385,0.06931193146248624,Low
Masters,2013,New Delhi,3,27,Male,No,5,1,"cybersecurity,networking",3,1,2,0.18518518518518517,0.7766703825790768,High
Bachelors,2017,Pune,2,24,Female,No,2,1,"machine learning,python",3,1,2,0.08333333333333333,0.9358461953959439,High
Bachelors,2017,New Delhi,3,28,Female,No,2,0,"ci/cd,devops,linux",5,0,3,0.07142857142857142,0.09626190411918964,Low
Bachelors,2016,Bangalore,3,26,Male,No,4,0,"data engineering,spark",2,0,2,0.15384615384615385,0.04906799643717252,Low
Bachelors,2013,Bangalore,3,27,Female,No,5,0,"data analysis,python,sql",5,0,3,0.18518518518518517,0.09863783678684138,Low
Masters,2015,Pune,2,28,Female,No,3,0,"java,microservices,spring boot",5,0,3,0.10714285714285714,0.2458282299884952,Low
Bachelors,2014,Bangalore,3,25,Male,No,3,0,"javascript,react,ui/ux",2,0,3,0.12,0.0761409313456883,Low
Bachelors,2016,Pune,3,28,Male,No,1,0,"aws,docker,kubernetes",4,0,3,0.03571428571428571,0.06502933486790494,Low
Masters,2013,Bangalore,1,25,Male,No,3,1,"cybersecurity,networking",2,1,2,0.12,0.6832581816344587,High
Bachelors,2015,Pune,3,26,Male,No,4,0,"machine learning,python",3,0,2,0.15384615384615385,0.04566682932791259,Low
Bachelors,2018,New Delhi,3,27,Female,No,5,1,"ci/cd,devops,linux",3,1,3,0.18518518518518517,0.9133413589988738,High
Bachelors,2016,Bangalore,3,24,Male,No,2,1,"data engineering,spark",4,1,2,0.08333333333333333,0.22502204133724435,Low
Bachelors,2012,Pune,2,24,Female,No,2,1,"data analysis,python,sql",5,1,3,0.08333333333333333,0.9271761477981018,High
Bachelors,2014,Bangalore,3,26,Male,No,4,0,"java,microservices,spring boot",2,0,3,0.15384615384615385,0.15230917473178326,Low
Bachelors,2016,Pune,2,24,Female,No,2,1,"javascript,react,ui/ux",1,1,3,0.08333333333333333,0.9440785697751007,High
Masters,2012,New Delhi,3,26,Female,No,4,0,"aws,docker,kubernetes",2,0,3,0.15384615384615385,0.3201275639890727,Low
Bachelors,2013,Bangalore,3,28,Female,No,3,0,"cybersecurity,networking",5,0,2,0.10714285714285714,0.15768040327945573,Low
Bachelors,2012,Bangalore,3,24,Male,No,2,1,"machine learning,python",1,1,2,0.08333333333333333,0.4961450385011344,Low
Bachelors,2015,Bangalore,3,25,Male,No,3,1,"ci/cd,devops,linux",1,1,3,0.12,0.3975484515141056,Low
Bachelors,2016,Bangalore,3,28,Male,No,3,0,"data engineering,spark",5,0,2,0.10714285714285714,0.11354497936515198,Low
Bachelors,2014,Bangalore,3,28,Female,No,3,0,"data analysis,python,sql",2,0,3,0.10714285714285714,0.08505724573972342,Low
Bachelors,2013,Bangalore,3,26,Female,No,4,0,"java,microservices,spring boot",3,0,3,0.15384615384615385,0.059961581857182464,Low
Masters,2017,New Delhi,3,24,Female,No,2,1,"javascript,react,ui/ux",3,1,3,0.08333333333333333,0.6272516901780705,High
Bachelors,2016,Bangalore,3,25,Male,No,3,1,"aws,docker,kubernetes",1,1,3,0.12,0.5018909269887454,Low
Bachelors,2015,Bangalore,3,25,Male,No,3,0,"cybersecurity,networking",5,0,2,0.12,0.10730824871163828,Low
Bachelors,2014,Bangalore,3,27,Male,No,5,0,"machine learning,python",4,0,2,0.18518518518518517,0.11281934156185336,Low
Bachelors,2012,Bangalore,3,24,Male,No,2,0,"ci/cd,devops,linux",5,0,3,0.08333333333333333,0.08892754445279967,Low
Bachelors,2014,Bangalore,3,25,Male,No,3,0,"data engineering,spark",2,0,2,0.12,0.07612232087778906,Low
Bachelors,2015,Bangalore,3,28,Male,No,3,0,"data analysis,python,sql",2,0,3,0.10714285714285714,0.08146662929921501,Low
Masters,2015,New Delhi,3,26,Male,No,4,1,"java,microservices,spring boot",3,1,3,0.15384615384615385,0.8162029808848332,High
Bachelors,2014,New Delhi,3,28,Female,No,1,0,"javascript,react,ui/ux",5,0,3,0.03571428571428571,0.11212643948885666,Low
Bachelors,2015,Pune,3,25,Male,No,3,0,"aws,docker,kubernetes",1,0,3,0.12,0.07220377437243962,Low
Masters,2015,Pune,2,28,Female,No,2,0,"cybersecurity,networking",1,0,2,0.07142857142857142,0.2261958212714545,Low
Bachelors,2014,Bangalore,3,27,Female,No,5,0,"machine learning,python",4,0,2,0.18518518518518517,0.08406420291144914,Low
Bachelors,2013,Bangalore,3,26,Male,No,4,0,"ci/cd,devops,linux",2,0,3,0.15384615384615385,0.1018803133509351,Low
Bachelors,2016,Bangalore,3,26,Male,No,4,0,"data engineering,spark",2,0,2,0.15384615384615385,0.04906799643717252,Low
Bachelors,2012,Bangalore,3,25,Male,No,3,0,"data analysis,python,sql",1,0,3,0.12,0.17716861403189793,Low
Bachelors,2015,Bangalore,3,25,Male,No,3,0,"java,microservices,spring boot",4,0,3,0.12,0.2978121363187325,Low
Bachelors,2014,New Delhi,3,24,Female,No,2,0,"javascript,react,ui/ux",3,0,3,0.08333333333333333,0.12414858633380561,Low
Bachelors,2012,Bangalore,3,27,Male,No,5,1,"aws,docker,kubernetes",1,1,3,0.18518518518518517,0.1669989255033245,Low
Masters,2017,New Delhi,3,27,Male,No,5,1,"cybersecurity,networking",1,1,2,0.18518518518518517,0.8408038334583555,High
Bachelors,2015,Pune,3,27,Male,No,5,0,"machine learning,python",5,0,2,0.18518518518518517,0.05499893103324034,Low
Bachelors,2018,Bangalore,3,24,Male,No,2,1,"ci/cd,devops,linux",4,1,3,0.08333333333333333,0.9394367297922297,High
Masters,2017,New Delhi,3,27,Male,No,5,1,"data engineering,spark",3,1,2,0.18518518518518517,0.8499661509449737,High
Masters,2017,New Delhi,2,28,Female,No,1,1,"data analysis,python,sql",4,1,3,0.03571428571428571,0.5939803676785435,Medium
Masters,2017,Pune,2,24,Male,No,2,1,"java,microservices,spring boot",2,1,3,0.08333333333333333,0.6065282769297229,Medium
Masters,2016,New Delhi,3,25,Female,No,3,1,"javascript,react,ui/ux",4,1,3,0.12,0.7408235217887279,High
PHD,2015,New Delhi,3,28,Female,No,1,0,"aws,docker,kubernetes",2,0,3,0.03571428571428571,0.13680168387517183,Low
Bachelors,2017,New Delhi,2,26,Male,No,4,0,"cybersecurity,networking",2,0,2,0.15384615384615385,0.04857869814102301,Low
Bachelors,2013,Bangalore,2,27,Male,No,5,0,"machine learning,python",4,0,2,0.18518518518518517,0.27051733979764586,Low
Bachelors,2015,Bangalore,3,26,Male,No,4,0,"ci/cd,devops,linux",2,0,3,0.15384615384615385,0.21735382887244853,Low
Bachelors,2015,Bangalore,3,26,Male,No,4,0,"data engineering,spark",5,0,2,0.15384615384615385,0.05262984000203139,Low
Bachelors,2013,Bangalore,3,28,Male,No,1,0,"data analysis,python,sql",2,0,3,0.03571428571428571,0.1443390049239749,Low
Bachelors,2015,Bangalore,3,27,Female,No,5,0,"java,microservices,spring boot",2,0,3,0.18518518518518517,0.068402360184035,Low
Bachelors,2013,New Delhi,3,25,Female,No,3,0,"javascript,react,ui/ux",3,0,3,0.12,0.07037604983000678,Low
Bachelors,2013,Pune,3,28,Male,No,1,0,"aws,docker,kubernetes",2,0,3,0.03571428571428571,0.05566895380790206,Low
Bachelors,2017,Pune,3,24,Male,No,2,0,"cybersecurity,networking",4,0,2,0.08333333333333333,0.05039026684143699,Low
Bachelors,2013,New Delhi,3,27,Female,No,5,0,"machine learning,python",4,0,2,0.18518518518518517,0.17224837427482814,Low
Bachelors,2015,Bangalore,3,28,Male,Yes,2,0,"ci/cd,devops,linux",3,0,3,0.07142857142857142,0.1750635840857716,Low
Bachelors,2015,Pune,3,28,Male,No,3,0,"data engineering,spark",5,0,2,0.10714285714285714,0.04886205672064276,Low
Bachelors,2014,Pune,2,25,Female,No,3,1,"data analysis,python,sql",5,1,3,0.12,0.9419531462475975,High
Bachelors,2014,Bangalore,3,25,Male,No,3,0,"java,microservices,spring boot",2,0,3,0.12,0.2259521457853817,Low
Bachelors,2017,Bangalore,3,27,Male,No,5,0,"javascript,react,ui/ux",4,0,3,0.18518518518518517,0.1267667766407881,Low
Bachelors,2014,Pune,2,26,Female,No,4,1,"aws,docker,kubernetes",4,1,3,0.15384615384615385,0.946016709238599,High
PHD,2013,New Delhi,3,24,Male,No,2,0,"cybersecurity,networking",1,0,2,0.08333333333333333,0.08834590243648507,Low
Bachelors,2015,Pune,2,26,Female,No,4,1,"machine learning,python",3,1,2,0.15384615384615385,0.9462849397183243,High
Bachelors,2017,Bangalore,3,25,Male,No,3,0,"ci/cd,devops,linux",2,0,3,0.12,0.11466452912668998,Low
Masters,2013,Pune,2,27,Male,No,5,1,"data engineering,spark",4,1,2,0.18518518518518517,0.7520930428773004,High
Masters,2017,Bangalore,3,28,Male,No,2,0,"data analysis,python,sql",5,0,3,0.07142857142857142,0.30652772304569825,Low
Bachelors,2012,Bangalore,3,25,Male,No,3,1,"java,microservices,spring boot",2,1,3,0.12,0.29215522096178803,Low
Bachelors,2017,Bangalore,3,27,Male,No,5,0,"javascript,react,ui/ux",2,0,3,0.18518518518518517,0.11088016383906385,Low
Masters,2017,Pune,2,27,Female,No,5,0,"aws,docker,kubernetes",1,0,3,0.18518518518518517,0.3707434254178105,Low
Masters,2013,Bangalore,2,28,Female,No,2,1,"cybersecurity,networking",5,1,2,0.07142857142857142,0.8439974514984734,High
Masters,2017,Pune,3,28,Male,No,1,1,"machine learning,python",4,1,2,0.03571428571428571,0.5438813605271186,Medium
Bachelors,2018,Bangalore,3,27,Female,No,5,1,"ci/cd,devops,linux",5,1,3,0.18518518518518517,0.8996124927369648,High
Bachelors,2014,New Delhi,3,25,Female,No,3,0,"data engineering,spark",2,0,2,0.12,0.0707209296651714,Low
